group,treatment,source,outcome,n,mean_diff,SE,t,p,CI_lo,CI_hi,cohen_d
AB,B,Human,signup,25,0.0,0.1732,0.0,1.0,-0.3575,0.3575,0.0
AB,B,Human,useful,24,0.5,0.1346,3.715,0.0011,0.2216,0.7784,0.7583
AB,B,Human,regular,25,0.24,0.1851,1.297,0.2071,-0.1421,0.6221,0.2593
AB,B,Human,recommend,25,0.12,0.1763,0.681,0.5025,-0.2438,0.4838,0.1362
AB,B,LLM,signup,533,-0.0432,0.013,-3.316,0.001,-0.0687,-0.0176,-0.1436
AB,B,LLM,useful,533,0.3283,0.0212,15.481,0.0,0.2867,0.37,0.6706
AB,B,LLM,regular,533,0.1576,0.0187,8.445,0.0,0.1209,0.1943,0.3658
AB,B,LLM,recommend,533,0.1088,0.0163,6.66,0.0,0.0767,0.1409,0.2885
AB,B,Combined,signup,558,-0.0412,0.0146,-2.827,0.0049,-0.0699,-0.0126,-0.1197
AB,B,Combined,useful,557,0.3357,0.0211,15.892,0.0,0.2942,0.3772,0.6733
AB,B,Combined,regular,558,0.1613,0.0196,8.226,0.0,0.1228,0.1998,0.3482
AB,B,Combined,recommend,558,0.1093,0.0174,6.275,0.0,0.0751,0.1435,0.2656
AC,C,Human,signup,24,-0.25,0.1927,-1.297,0.2074,-0.6487,0.1487,-0.2648
AC,C,Human,useful,22,0.0455,0.1799,0.253,0.803,-0.3287,0.4196,0.0539
AC,C,Human,regular,24,-0.125,0.1837,-0.681,0.503,-0.505,0.255,-0.1389
AC,C,Human,recommend,24,-0.1667,0.2225,-0.749,0.4615,-0.627,0.2937,-0.1529
AC,C,LLM,signup,523,-0.4054,0.0222,-18.292,0.0,-0.4489,-0.3618,-0.7999
AC,C,LLM,useful,523,0.0402,0.0127,3.157,0.0017,0.0152,0.0651,0.1381
AC,C,LLM,regular,523,-0.3824,0.0223,-17.164,0.0,-0.4262,-0.3386,-0.7505
AC,C,LLM,recommend,523,-0.0631,0.0137,-4.62,0.0,-0.0899,-0.0363,-0.202
AC,C,Combined,signup,547,-0.3985,0.0228,-17.487,0.0,-0.4433,-0.3538,-0.7477
AC,C,Combined,useful,545,0.0404,0.0141,2.859,0.0044,0.0126,0.0681,0.1225
AC,C,Combined,regular,547,-0.3711,0.0228,-16.256,0.0,-0.416,-0.3263,-0.695
AC,C,Combined,recommend,547,-0.0676,0.0162,-4.172,0.0,-0.0995,-0.0358,-0.1784
