person_id,group,data_source,gender,edu_level,year_in_school,age,job_status,field,difficulty,time_per_week,used_ai,heard_simplify,A_signup,A_useful,A_regular,A_recommend,B_signup,B_useful,B_regular,B_recommend,C_signup,C_useful,C_regular,C_recommend
1001,AB,llm,Male,Master's student,Master's student (1st year),27,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,No,Yes,3,1,2,3,4,3,4,3,,,,
1002,AB,llm,Male,Master's student,Master's student (1st year),26,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,2,2,3,3,4,3,3,4,,,,
1003,AB,llm,Male,Master's student,Master's student (1st year),22,Not currently looking for jobs,Computer Science / Engineering,Neither easy nor difficult,0-2 hours,No,Yes,2,2,2,3,3,3,3,4,,,,
1004,AB,llm,Female,Master's student,Master's student (1st year),24,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,0-2 hours,Yes,Yes,3,3,4,4,4,4,3,4,,,,
1005,AB,llm,Male,Master's student,Master's student (1st year),28,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,Yes,Yes,4,3,3,4,4,3,4,4,,,,
1006,AB,llm,Female,Master's student,Master's student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,3,2,3,2,3,2,2,2,,,,
1007,AB,llm,Female,Master's student,Master's student (1st year),23,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,Yes,Yes,2,1,3,2,3,2,3,2,,,,
1008,AB,llm,Male,Master's student,Master's student (1st year),28,Actively applying for internships,Computer Science / Engineering,Somewhat difficult,3-5 hours,Yes,Not sure,4,2,5,3,3,3,4,2,,,,
1009,AB,llm,Female,Master's student,Master's student (1st year),26,Not currently looking for jobs,Information Systems / Data Science,Extremely difficult,0-2 hours,Yes,Yes,3,3,3,3,2,2,2,2,,,,
1010,AB,llm,Female,Master's student,Master's student (1st year),28,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,No,Yes,4,3,5,4,4,4,4,4,,,,
1011,AB,llm,Male,Master's student,Master's student (1st year),25,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,Yes,No,3,2,2,2,3,3,3,3,,,,
1012,AB,llm,Female,Master's student,Master's student (1st year),29,Not currently looking for jobs,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,Yes,Yes,2,2,3,3,3,2,4,2,,,,
1013,AB,llm,Male,Master's student,Master's student (1st year),24,Actively applying for internships,Information Systems / Data Science,Neither easy nor difficult,3-5 hours,No,Yes,4,4,4,4,4,5,5,5,,,,
1014,AB,llm,Male,Master's student,Master's student (1st year),27,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,3-5 hours,Yes,No,5,4,3,4,4,4,4,4,,,,
1015,AB,llm,Male,Master's student,Master's student (1st year),24,Exploring opportunities but not applying yet,Business,Extremely difficult,3-5 hours,No,Yes,4,3,3,3,4,5,4,4,,,,
1016,AB,llm,Female,Master's student,Master's student (1st year),21,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,No,4,3,5,4,4,3,4,5,,,,
1017,AB,llm,Male,Master's student,Master's student (1st year),26,Actively applying for internships,Information Systems / Data Science,Extremely difficult,6-8 hours,Yes,Yes,4,4,3,4,4,4,4,4,,,,
1018,AB,llm,Female,Master's student,Master's student (1st year),31,Actively applying for internships,Information Systems / Data Science,Extremely difficult,More than 8 hours,Yes,Yes,3,1,3,4,3,1,4,4,,,,
1019,AB,llm,Male,Master's student,Master's student (1st year),22,Not currently looking for jobs,Computer Science / Engineering,Somewhat difficult,0-2 hours,Yes,Yes,4,4,4,4,4,4,3,4,,,,
1020,AB,llm,Female,Master's student,Master's student (1st year),28,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,Yes,Yes,5,4,5,4,5,4,5,5,,,,
1021,AB,llm,Female,Master's student,Master's student (1st year),24,Exploring opportunities but not applying yet,Information Systems / Data Science,Somewhat difficult,6-8 hours,Yes,Yes,3,3,3,5,3,4,5,5,,,,
