person_id,group,data_source,gender,edu_level,year_in_school,age,job_status,field,difficulty,time_per_week,used_ai,heard_simplify,page,is_treatment,signup,useful,regular,recommend
1001,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,4,4
1001,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,4,4
1002,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,A,0,3,3,3,3
1002,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,B,1,3,3,3,3
1003,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1003,AB,llm,Male,Master's student,Master's student (1st year),24.0,Actively applying for full-time jobs,Information Systems / Data Science,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1004,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,4,3,3,3
1004,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,4,3,4,4
1005,AB,llm,Female,Master's student,Master's student (2nd year or above),25.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1005,AB,llm,Female,Master's student,Master's student (2nd year or above),25.0,Not currently looking for jobs,Information Systems / Data Science,Somewhat difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1006,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for internships,Computer Science / Engineering,Extremely difficult,6-8 hours,1.0,Yes,A,0,4,3,4,4
1006,AB,llm,Male,Master's student,Master's student (1st year),22.0,Actively applying for internships,Computer Science / Engineering,Extremely difficult,6-8 hours,1.0,Yes,B,1,4,4,4,4
1007,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,A,0,3,3,3,3
1007,AB,llm,Female,Master's student,Master's student (1st year),23.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,3-5 hours,1.0,Yes,B,1,3,3,3,3
1008,AB,llm,Female,Master's student,Master's student (1st year),24.0,Actively applying for internships,Information Systems / Data Science,Somewhat difficult,0-2 hours,1.0,Yes,A,0,4,3,4,4
